what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1473855199629
locale,sysinfo,,,"en_US",1473855199629
processors,sysinfo,,,"4",1473855199629
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473855199629
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1473855199629
java.specification.name,sysinfo,,,"Java Platform API Specification",1473855199629
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473855199629
java.specification.version,sysinfo,,,"1.6",1473855199629
java.vendor,sysinfo,,,"Apple Inc.",1473855199629
java.version,sysinfo,,,"1.6.0_65",1473855199629
java.vm.info,sysinfo,,,"mixed mode",1473855199629
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1473855199629
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473855199629
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473855199629
java.vm.specification.version,sysinfo,,,"1.0",1473855199629
java.vm.vendor,sysinfo,,,"Apple Inc.",1473855199629
java.vm.version,sysinfo,,,"20.65-b04-462",1473855199629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855204576
started,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1473855209479
started,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1473855209481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1473855361359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855465159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1473855465197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855471767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855545714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1473855545766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855556266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855561139
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1473855569055
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1473855569385
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1473855569408
started,bundle,oracle.eclipse.tools.glassfish,4.2.1.201201241947,"oracle.eclipse.tools.glassfish",1473855569482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855578003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855591925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1473855591958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1473855591958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855602071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855613542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855638953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855645597
opened,view,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.views.MavenRepositoryView",1473855646957
activated,view,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.views.MavenRepositoryView",1473855646989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1473855646990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1473855646990
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1473855658566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473855667094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1473855761931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1473855762263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473855766903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473855767612
